profile_name,about_spec
Английский язык и китайский язык,свободно общаться на английском языке в любой ситуации; необходимым языковым навыкам для свободного общения и профессиональной деятельности; эффективно планировать уроки английского языка с учетом требований ФГОС; преподавать китайский язык согласно последним требованиям современной методики.
Технология и цифровое моделирование,"Студенты освоят ряд дисциплин, связанных с введением в педагогическую деятельность, возрастную педагогическую психологию, теорию обучения и воспитания, основы предпринимательства в образовании. Они получат практический опыт работы с детьми и подростками через педагогическую практику в образовательных учреждениях города по различным видам инженерного творчества, в том числе с использованием информационных технологий. Студенты получат необходимые знания и практические навыки в таких научных областях как инженерная графика, 3D-моделирование, прототипирование и макетирование, робототехника, автоматизированные системы, основы программирования, художественно-промышленные технологии обработки различных материалов, промышленный дизайн, технологии обработки пищевых продуктов, электротехника и электроника, цифровизация образования и многое другое Также студенты получат первоначальные навыки проведения прикладной научно-исследовательской работы, освоят некоторые формы её отчётности, что позволит им участвовать в конференциях, семинарах, публиковать статьи и получать именные стипендии и гранты."
История и география,"разбираться в закономерностях и особенностях исторического развития не только России, но и зарубежных стран; анализировать исторические источники и научные труды; разбираться в особенностях развития природных процессов, социально-экономических явлений и культурных аспектов развития территорий, что позволит вам глубже понимать взаимосвязь человека и пространства; самостоятельно решать конкретные практические или теоретически проблемы в образовательной или культурной сферах; определять виды методов научного исследования, различать и применять их в своих научных работах; творчески решать педагогические задачи, получите навыки конструктивного диалога с учащимися и педагогическим коллективом."
История и география,"разбираться в закономерностях и особенностях исторического развития не только России, но и зарубежных стран; анализировать исторические источники и научные труды; разбираться в особенностях развития природных процессов, социально-экономических явлений и культурных аспектов развития территорий, что позволит вам глубже понимать взаимосвязь человека и пространства; самостоятельно решать конкретные практические или теоретически проблемы в образовательной или культурной сферах; определять виды методов научного исследования, различать и применять их в своих научных работах; творчески решать педагогические задачи, получите навыки конструктивного диалога с учащимися и педагогическим коллективом."
Дошкольное образование и дополнительное образование,"личностно-ориентированному общению с детьми раннего возраста, инновационным технологиям образования детей первых трех лет жизни; стимулировать детей к самостоятельному развитию творческой мыслительной деятельности и поддержанию интереса к естественным наукам, развивать инженерное творчество; обучать детей чтению и письму; самореализации, самосовершенствованию и саморазвитию, развитию внутренних качеств, поиску нового, в том числе новых планов и идей; способам и педагогическим технологиям взаимодействия с детьми; психолого-педагогической диагностики и мониторингу в дошкольном и дополнительном образовании."
Информатика и экономика,"применять современные цифровые и экономические компетенции для решения профессиональных задач; методике преподавания информатики и экономики; разрабатывать электронные курсы, программное обеспечение; автоматизировать процессы, связанные с дистанционным обучением и др."
История и обществознание,"разбираться в закономерностях и особенностях исторического развития не только России, но и зарубежных стран; анализировать исторические источники и научные труды; разбираться в особенностях развития человеческой цивилизации на ранних этапах, получите представление о методике поиска и исследования археологических памятников; самостоятельно решать конкретные практические или теоретически проблемы в научной, образовательной или культурной сферах, оформленные в виде конечного продукта, который можно увидеть, осмыслить и внедрить в практическую жизнь; определять виды методов научного исследования, различать и применять их в своих научных работах; творчески решать педагогические задачи, получите навыки конструктивного диалога с учащимися и педагогическим коллективом."
Математика и физика,"основам фундаментальных математических и физических дисциплин и дисциплин школьного курса математики и физики; пониманию окружающих, умению грамотно общаться, учитывать психологические и возрастные особенности учащихся, грамотно и доступно объяснять материал учебных дисциплин математики и физики, видеть перспективу своего профессионального роста; методологии научных исследований, их организации и планирования, этапы проведения научного исследования; технологии подготовки обучающихся к различным типам итоговой аттестации, методику разработки, подбора и применения задач при подготовке школьников к ОГЭ и ЕГЭ."
Начальное образование и организация воспитательной работы,"педагогической теории и практике; понимать природу ребенка, следить за этапами его развития, правильно выстраивать отношения с участниками педагогического процесса; способам осуществления научного исследования, научитесь выдвигать гипотезы, проверять их, писать научные статьи и делать научные выводы; учить детей, объяснять сложные научные или природные явления простым понятным языком; теории и практике организации воспитательного процесса в учреждениях общего и дополнительного образования."
Немецкий язык и английский язык,"немецкому языку для решения задач межличностного и межкультурного взаимодействия; владеть английским языком, что позволит Вам повысить Вашу конкурентоспособность на рынке труда; современным технологиям обучения иностранным языкам; работать в команде и реализовывать цели проектным методом."
Химия и биология,"Модуль «Биология» включает изучение таких дисциплин как зоология, ботаника, цитология и гистология, анатомия и морфология человека, физиология растений, физиология человека и животных, генетика. Химическая подготовка включает изучение таких дисциплин как общая и неорганическая химия, органическая химия, аналитическая химия, биохимия, физическая и коллоидная химия. Психолого-педагогическая и методическая подготовка осуществляется в рамках модулей: «Коммуникации в профессиональном взаимодействии», «Психология образования», «Педагогика», «Основы вожатской деятельности», в процессе освоения курсов «Методика преподавания биологии», «Методика преподавания химии». Основная образовательная программа кроме основных и дополнительных дисциплин включает в себя различные виды практик и научно-исследовательскую деятельность, что позволяет учащимся участвовать в различных конференциях, семинарах, публиковать статьи и получать именные стипендии и гранты."
Русский язык и литература,"давать теоретическое объяснение фактам современного русского языка с учетом тенденций его развития, овладеете нормами литературного языка и навыками лингвистического анализа единиц разных уровней; использовать знания из области истории и теории литературы в практике анализа художественных текстов различных жанров; читать, переводить и самостоятельно анализировать старославянские тексты, находить в современном русском языке исконные формы, проводить сравнительно-историческое сопоставление лексических единиц в разных славянских языках; организовывать обучение и воспитание с использованием технологий, соответствующих возрастным особенностям учащихся и отражающих специфику филологических дисциплин; научитесь проектировать индивидуальные маршруты обучения, воспитания и развития; проводить отбор речевого материала из различных источников для работы над техникой собственной речи и речи обучаемого; овладеете навыками публичного выступления: навыками развития рационального речевого дыхания, свободного владения голосом, совершенствования дикции, выразительного чтения."
Актуальные стратегии и инструменты эффективного обучения русскому языку,"проектировать и реализовывать персонализированное эффективное обучение русскому языку; разрабатывать программы и инструменты, которыепомогут моделировать и реализовывать индивидуальные образовательные траектории; учитывать индивидуальные потребности обучающихся в системе обучения русскому языку; выстраивать процесс обучения русскому языку с учётом актуальных стратегий современного языкового образования."
Физкультурно-оздоровительные технологии,обязательные:Мотивационное письмоСобеседование по портфолио
Педагогический менеджмент,"разрабатывать и внедрять современные  технологии в деятельность образовательных организаций; осуществлять экспертизу образовательного процесса; руководство процессом управления образовательной, научно-исследовательской, экспертно-аналитической и инновационной деятельностью, ресурсами и развитием образовательной организации; фандрайзинг деятельности и развитие инвестиционной политики образовательного учреждения."
Управление инновационными процессами в системе непрерывного образования,"разрабатывать и внедрять инновационные технологии в деятельность образовательных организаций; экспертиза образовательного процесса; управление образовательной, научно-исследовательской, экспертно-аналитической и инновационной деятельностью, ресурсами и развитием образовательной организации; фандрайзинг деятельности и развитие инвестиционной политики образовательного учреждения."
Управление дошкольной образовательной организацией,"владеть компетенциями руководителя дошкольной образованием; проектировать стратегии развития образовательных организаций, управлять образовательным процессом и его качеством, управлять кадрами и иные актуальные проблемы составляют содержание программы."
Управление качеством общего образования,"решать профессиональные задачи в области педагогической, научно-исследовательской и управленческой деятельности, связанные организацией процессов обучения, воспитания, самообразования и взаимодействия с участниками образования; с использованием современных научных методов и технологий; с проведением научного педагогического исследования; с диагностикой качества управляемых педагогических процессов и их результатов."
Управление развитием физкультурно-спортивных и образовательных организаций,"планированию и осуществлению учебной и воспитательной деятельности сообразно с возрастными и психофизиологическими особенностями и индивидуальными образовательными потребностями обучающихся; проектированию основных и дополнительных образовательных программ с учетом планируемых образовательных результатов; отбору и структурированию содержания основных и дополнительных образовательных программ; проектированию и мониторингу в образовании; разработке и реализации собственных (авторских) методических приемов обучения и воспитания с учетом индивидуальных образовательных потребностей, в том числе обучающихся с особыми образовательными потребностями; оценивать организационно-экономическую необходимость принятия перспективных решений в области физической культуры и спорта; системе управления персоналом в сфере физической культуры и спорта."
Проектирование индивидуальных образовательных траекторий (гуманитарный цикл),"решать профессиональные задачи в области педагогической, научно-исследовательской и управленческой деятельности, связанные с организацией процессов обучения, воспитания, самообразования и взаимодействия с участниками образования; использовать современные научные педагогические методы и технологии; организовывать обучение и воспитание с использованием педагогических технологий, соответствующих возрастным особенностям обучающихся, отражающих специфику гуманитарных дисциплин и позволяющих обеспечить высокое качество образования и достижение планируемых результатов обучения; проводить научные педагогические исследования; формировать образовательную среду для организации эффективного образовательного процесс; диагностировать качество управляемых педагогических процессов и их результаты; проектировать индивидуальные образовательные маршруты, индивидуальные образовательные программы, индивидуальные образовательные траектории в условиях новых образовательных стандартов и для различных категорий обучающихся."
Современные технологии обучения иностранным языкам в системе общего и дополнительного иноязычного образования,"планировать и проводить занятия на различных ступенях обучения как в системе общего государственного, так и дополнительного иноязычного образования; учитывать психологические и возрастные особенности обучения иностранному языку; использовать современные методы и технологии обучения иностранным языкам на основе новейших образовательных цифровых технологий; свободно общаться на английском языке и преподавать его обучающимся любого возраста; заниматься организацией языковых центров и негосударственных учреждений дополнительного языкового образования."
Коррекционная психология,"проводить психологическую реабилитацию лиц, получивших психические травмы, восстанавливать их работоспособность; составлять психологический портрет профессионала, прогнозировать, анализировать и оценивать психологические условия его работы; составлять программы диагностики проблем лиц, нуждающихся в коррекционном вмешательстве; изучать психологический климат в коллективе, проводить работу по поддержанию психологически благоприятной атмосферы; проводить консультации по профориентации, профессиональному и личностному росту в образовательных учреждениях."
Психологическое консультирование,"контролировать ход психического развития обучающихся на каждом уровне образования в организации; осуществлять психологическое консультирование обучающихся и их родителей (законных представителей); применять индивидуальные и групповые меры по снижению и устранению отклонений в психическом и личностном развитии обучающихся; проводить консультации по профориентации, планированию карьеры, профессиональному и личностному росту, преподавать психологические дисциплины в профессиональных лицеях, колледжах и вузах; разрабатывать и реализовывать программы профилактики и коррекции девиаций и асоциального поведения детей и подростков."
Социально-психологическое консультирование и реабилитация,"осуществлять социально - психологическое консультирование клиентов разного возраста; организовывать социально-психологическую реабилитацию лиц, попавших в трудную жизненную ситуацию; проводить социально-психологическую диагностику клиентов, попавших в трудную жизненную ситуацию; проводить индивидуальное и групповое консультирование; осуществлять социально-психологическое консультирование по вопросам решения личных психологических проблем; трудностей в супружеских и семейных отношениях; построении профессиональной карьеры; профессиональном самоопределении, профессиональной самореализации; в вопросах взаимоотношений родителей с ребенком и подростком; нарушения дисциплины в школе; здоровья и самочувствия; переживания стрессовых событий; жизненных кризисов; аддитивного поведения, девиаций; разрабатывать программы социально-психологической реабилитации и лиц, попавших в трудную жизненную ситуацию."
Психолого-педагогическое сопровождение и развитие одаренных детей,выявлять и осуществлять диагностику одаренных детей; проектировать дополнительные образовательные программы для одаренных детей; применять современные технологии обучения и воспитания одаренных детей; осуществлять психолого-педагогическое сопровождение одаренных детей; учитывать особенности семейного воспитания одаренных детей.
Коррекционно-педагогическое сопровождение специального и инклюзивного образования,"осуществлению комплексного психолого-педагогического изучения с целью выявления особенностей психофизического развития и организации сопровождения лиц с ОВЗ в условиях специального и инклюзивного образования; проектированию коррекционно-развивающей среды и методического обеспечения; мониторингу эффективности коррекционно-педагогического, абилитационного и реабилитационного процессов в образовательных организациях; проектированию, апробация и внедрению программ и психолого-педагогического сопровождения детей с ОВЗ; созданию инновационных научно обоснованных технологий обучения и воспитания детей с ОВЗ в условиях инклюзивного образования; проектированию индивидуальных маршрутов развития, образования, социальной адаптации и интеграции лиц с ОВЗ; консультированию педагогов, родителей (законных представителей) по вопросам развития и образования детей с ОВЗ."
Медиа и культурные коммуникации,"истории взаимодействия культуры и меняющихся медиасредств коммуникации, о развитии медиа, познакомитесь с теориями, подходами и методами изучения современных медиа; интересно рассказывать истории для создания мультимедийного контента (посты в социальных сетях, реклама, лонгриды, статьи, сценарии, комиксы, книги); основам процесса продвижения бренда через распространение медиаконтента в средствах массовой информации, в том числе через использование нейросетей (телевидение, радио, печатные издания, Интернет); различным медиажанрам, научитесь работать над содержанием и качеством медиапубликаций, готовить к публикации собственные материалы, отбирать и редактировать авторские материалы."
Филологическое обеспечение профессиональных коммуникаций,"в современных и классических произведениях литературы видеть «вечные» сюжеты и образы и понимать их смысл и значение; педагогической деятельности в качестве учителя русского языка и литературы в средних образовательных учреждениях; интересно рассказывать истории для создания мультимедийного контента (посты в социальных сетях, реклама, лонгриды, статьи, сценарии, комиксы, книги); делать профессиональный перевод с английского языка; основным методами и приемам исследовательской и практической работы в области устной и письменной коммуникации, в сфере межкультурной коммуникации и деловой (включая телефонный и сетевой этикет)."
Филологические стратегии в управлении Интернет-контентом,"понимать закономерности литературного процесса, художественное значение литературного произведения в связи с общественной ситуацией и культурой эпохи, определять художественное своеобразие произведений и творчества писателя в целом; разрабатывать филологические стратегии для создания и редактирования интернет-контента, выполнения научных исследований и филологических проектов в соответствии с направленностью магистерской программы; выбирать и применять необходимые современные информационные технологии, использовать в работе нейросети."
Лингвистика и межкультурная коммуникация,свободно общаться на английском языке в профессиональной и научной сферах;  классическим и инновационным методами и технологиями обучения иностранным языкам разных возрастных групп обучающихся; навыкам осуществления проектной деятельности в профессиональной и научно-исследовательской сфере.
Английский язык и китайский язык,"свободно общаться на английском языке в любой ситуации;  языковым навыкам для свободного общения и профессиональной деятельности;  основам переводческой деятельности, эффективным методам и способами устного и письменного перевода; быстро и правильно переводить английские и русские тексты любой тематики как устно, так и письменно;  навыкам эффективного устного и письменного перевода любых китайских и русских текстов."
Документоведение и документационное обеспечение управления,"теории и методики комплектования архивов, хранения и использования архивных документов; основам трудового, административного, гражданского, информационного, архивного права; работать с новыми нормативными документами и стандартами, регламентирующими работу в области документооборота, технологиям управления разного рода документацией, принятых в международном пространстве и понятные во всем мире."
Компаративная история цивилизаций и проблемы регионального развития,"сочетать современные методики, традиционные и новые подходы в процессе проведения исторических исследований; выстраивать коммуникации с научным сообществом, социальными партнерами, работать в команде; выстраивать траекторию личностного роста; разрабатывать и продвигать культурно-исторические проекты;"
Дизайн мышления,"осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий; управлять проектами на всех этапах его жизненного цикла; организовывать и руководить работой команды, вырабатывая стратегию для достижения поставленной цели; применять современные коммуникативные технологии для академического и профессионального взаимодействия; анализировать и учитывать разнообразие культур в процессе межкультурного взаимодействия; реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки; применять в сфере своей профессиональной деятельности при решении нестандартных задач категории и принципы, характеризующие современные проблемы философии, предлагать и аргументированно обосновывать способы их решения; использовать в своей профессиональной деятельности категории и принципы теории и практики аргументации; использовать в своей профессиональной деятельности категории и принципы методики преподавания философии и педагогики высшей школы; разрабатывать и реализовывать организационно-управленческие решения по профилю деятельности."
Спортивный менеджмент и судейство спортивных соревнований,"пользоваться методами функциональных исследований физиологических параметров, будете уметь определять биологический возраст и соотносить его с паспортным;  разрабатывать и реализовывать планы учебно-тренировочных занятий, определять величину физической нагрузки, доступную занимающемуся, подводить спортсмена к пику спортивной формы;  использовать теоретические знания для решения практических управленческих задач в сфере физической культуры и спорта; использовать массаж для восстановления работоспособности спортсмена после больших физических нагрузок; успешному проведению массовых мероприятий в спорте."
Графический дизайн,"выдвигать дизайнерские идеи по созданию различных объектов: полиграфической продукции, товаров народного потребления и т.д; художественно представить дизайнерское решение в виде эскиза, рисунка, материальной модели; разрабатывать и выполнять дизайн-проекты в области графического дизайна, ЗD-графике, печатного издания; разрабатывать фирменный стиль: логотип, цветовые гаммы, дизайнерские элементы; выбирать наиболее эффективные с точки зрения дизайна, комфорта и безопасности материалы и конструкции; разрабатывать различные варианты цвето-световой среды; применять современные графические редакторы в процессе проектирования и конструирования дизайн-продуктов, рекламных макетов; создавать дизайн-проекты в 3D и 2D; преподавать профильные дисциплины (рисунок, живопись и т.д.) в школах, профессиональных лицеях и колледжах; владеть рисунком и основами академической живописи, начальными профессиональными навыками скульптора; разбираться в современной шрифтовой культуре, использовать шрифты в рекламных макетах и других дизайн-проектах; пользоваться различными приемами в макетировании и моделировании; применять разные приемы работы с цветом и цветовыми композициями; использовать дизайнерские навыки и умения для оформления бизнес-проектов; иметь широкий кругозор и оставаться универсальным специалистом в своей области."
Дизайн интерьера,"выдвигать дизайнерские идеи по созданию различных объектов: средовых объектов (интерьеров, комплектов мебели, оборудование мебели (торговое и выставочное, экспозиционное, мебель для общественных и жилых помещений); художественно представить дизайнерское решение в виде эскиза, рисунка, материальной модели; разрабатывать и выполнять дизайн-проекты в области средового дизайна, ЗD-графике; выбирать наиболее эффективные с точки зрения дизайна, комфорта и безопасности материалы и конструкции; разрабатывать различные варианты цвето-световой среды; применять современные графические редакторы в процессе проектирования и конструирования дизайн-проектов; владеть рисунком и основами академической живописи, начальными профессиональными навыками скульптора; пользоваться различными приемами в макетировании и моделировании; применять разные приемы работы с цветом и цветовыми композициями; иметь широкий кругозор и оставаться универсальным специалистом в своей области; анализировать произведения разных видов и жанров искусства."
